Year,Indicator,alignment
1975,Inflation,0.1294414541
1975,Credit_to_Private_Sector,0.1254487932
1975,Trade,0.2999820475
1975,GDP,0.4116683626
1975,GDP_Growth,0.3246339305
1975,Unemployment,0.5036527898
1976,Inflation,0.2961768588
1976,Credit_to_Private_Sector,0.2280568942
1976,Trade,0.3665448795
1976,GDP,0.5012280108
1976,GDP_Growth,0.1102006032
1976,Unemployment,0.6606082226
1977,Inflation,0.1916949925
1977,Credit_to_Private_Sector,0.1301721827
1977,Trade,0.3929004752
1977,GDP,0.4693955619
1977,GDP_Growth,0.1756807699
1977,Unemployment,0.1017169039
1978,Inflation,0.2215488972
1978,Credit_to_Private_Sector,0.2734694179
1978,Trade,0.3363071223
1978,GDP,0.2769570130
1978,GDP_Growth,0.7526440634
1978,Unemployment,0.1797199420
1979,Inflation,0.3791460758
1979,Credit_to_Private_Sector,0.4451255901
1979,Trade,0.3006225910
1979,GDP,0.3675407743
1979,GDP_Growth,0.7440239891
1979,Unemployment,0.0871667802
1980,Inflation,0.2404539734
1980,Credit_to_Private_Sector,0.1231016222
1980,Trade,0.0914691243
1980,GDP,0.4782033582
1980,GDP_Growth,0.1678246878
1980,Unemployment,0.3893342006
1981,Inflation,0.3427645219
1981,Credit_to_Private_Sector,0.3548050655
1981,Trade,0.3310794844
1981,GDP,0.2749904725
1981,GDP_Growth,0.7353149354
1981,Unemployment,0.4423346155
1982,Inflation,0.0555288626
1982,Credit_to_Private_Sector,0.2423057090
1982,Trade,0.3037531472
1982,GDP,0.3355342078
1982,GDP_Growth,0.8118090462
1982,Unemployment,0.3443820291
1983,Inflation,0.5768969782
1983,Credit_to_Private_Sector,0.2601662876
1983,Trade,0.0346159457
1983,GDP,0.1227263267
1983,GDP_Growth,0.9136907914
1983,Unemployment,0.3955393463
1984,Inflation,0.1555355783
1984,Credit_to_Private_Sector,0.3776588405
1984,Trade,0.2554685792
1984,GDP,0.3487300694
1984,GDP_Growth,0.7180875837
1984,Unemployment,0.3517563814
1985,Inflation,0.1701598130
1985,Credit_to_Private_Sector,0.2182932789
1985,Trade,0.3672589386
1985,GDP,0.4590493878
1985,GDP_Growth,0.7324340247
1985,Unemployment,0.2744147961
1986,Inflation,0.5354427802
