Country,Country Code,Year,NPLs,Inflation,Credit_to_Private_Sector,Debt,Trade,GDP,GDP_Growth,Unemployment,x,y,_algo
Africa Eastern and Southern,AFE,1975,,,-0.2519065223,,,-0.2192146236,-0.3117518790,,-2.0508291721,19.0984401703,UMAP
Africa Western and Central,AFW,1975,,,-0.8098512795,,,-0.2255039720,-0.8771136875,,-1.7265436649,17.4089031219,UMAP
Algeria,DZA,1975,,,0.1067712892,,0.0037691397,-0.2324037841,0.2794072588,,-2.1130976677,16.9436340332,UMAP
American Samoa,ASM,1975,,,,,,,,1.6149681126,-3.4040062428,19.6623821259,UMAP
Andorra,AND,1975,,,,,,-0.2349402271,-0.4517272703,,-0.8368688226,18.4493236542,UMAP
Antigua and Barbuda,ATG,1975,,,,,,,,1.9991774626,-3.3075253963,19.5796546936,UMAP
Arab World,ARB,1975,,,-0.7409515561,,0.1352165708,-0.2071678856,-0.5464648570,,-1.5885559320,17.3665199280,UMAP
Argentina,ARG,1975,,,-0.6985723681,,-1.2722607798,-0.2263047368,-0.5443734534,-0.9823566332,-3.6439349651,17.2355022430,UMAP
Australia,AUS,1975,,0.0408181631,-0.4367958121,,-0.9344721809,-0.2188851947,-0.3228832980,,-3.1361644268,17.6001682281,UMAP
Austria,AUT,1975,,-0.0430414544,,,-0.3864635342,-0.2283778992,-0.5988170062,-1.0345117486,-0.4711149335,16.2293529510,UMAP
"Bahamas, The",BHS,1975,,,0.3537941584,,,-0.2348780327,-2.9432136949,2.3034156356,-2.3722548485,18.6941547394,UMAP
Bahrain,BHR,1975,,,-0.2051088862,,,-0.2347948658,-1.9741935166,,-1.1712505817,19.0358963013,UMAP
Bangladesh,BGD,1975,,,-1.0474858351,,-1.2881413140,-0.2317604129,-1.2035277523,,-2.6201996803,17.4666881561,UMAP
Barbados,BRB,1975,,,-0.2506836639,,,-0.2349101185,-0.8482466997,,-1.7290022373,18.3932018280,UMAP
Belgium,BEL,1975,,0.0109275050,,,0.2963370833,-0.2241152857,-0.8589531021,-0.4955755563,-1.4604599476,16.2996101379,UMAP
Belize,BLZ,1975,,,,,,-0.2349570816,0.0435748259,,-1.8266898394,17.6169891357,UMAP
Benin,BEN,1975,,,-0.5562547569,,-0.5611964142,-0.2348646921,-1.3345745629,,-2.6261091232,17.5320987701,UMAP
Bermuda,BMU,1975,,,,,,-0.2349195742,0.0720353780,,-1.1890324354,18.2331714630,UMAP
Bhutan,BTN,1975,,,,,,-0.2349622699,-1.0767409684,,-1.9028941393,17.6756248474,UMAP
Bolivia,BOL,1975,,,-0.8130675316,,-0.3602302768,-0.2345787588,0.6472651391,-0.4781905179,-3.9326195717,16.8999881744,UMAP
Botswana,BWA,1975,,,-0.6293364737,,0.6084491573,-0.2349178926,0.8315828670,,-2.3597123623,17.7925071716,UMAP
Brazil,BRA,1975,,,0.1699557827,,-1.1457119350,-0.2136099608,0.2991028848,,-2.7473509312,17.5502357483,UMAP
Brunei Darussalam,BRN,1975,,,,,-0.4594903021,-0.2345637893,-0.6445307417,0.0524008559,-1.7108967304,17.0401840210,UMAP
Burkina Faso,BFA,1975,,,-0.8351957366,,-0.7666513128,-0.2348211823,-0.0529394026,,-2.3676152229,17.1773090363,UMAP
Burundi,BDI,1975,,,-1.0231082083,,-0.9677793832,-0.2349070081,-0.4264452674,,-2.5421564579,17.2694263458,UMAP
Cambodia,KHM,1975,,,,,,-0.2348527424,,,-3.3196113110,17.2863159180,UMAP
Cameroon,CMR,1975,,,-0.6431953465,,-0.5555539824,-0.2345041533,1.2860007409,,-2.6240346432,17.3052577972,UMAP
Canada,CAN,1975,,-0.0152397515,-0.0567192071,,-0.6022323400,-0.2061324613,-0.2888469008,,-2.7481951714,17.6646251678,UMAP
Caribbean small states,CSS,1975,,,-0.4835107078,,,-0.2341795628,-0.8170796482,,-2.2250425816,18.4510498047,UMAP
Central African Republic,CAF,1975,,,-0.6989405983,,-0.3032608365,-0.2349140078,-0.4740062405,,-2.3861355782,17.7425060272,UMAP
Chad,TCD,1975,,,-0.8029643499,,-0.7124651777,-0.2348336465,0.9231573291,,-2.7248694897,17.5174331665,UMAP
Chile,CHL,1975,,4.5298397781,,,-0.5315510276,-0.2336847138,-2.5325431104,1.1716496319,-3.6393642426,19.0380630493,UMAP
China,CHN,1975,,,,,-1.3082018475,-0.2079072577,0.8760291823,,-1.7290772200,16.0727920532,UMAP
Colombia,COL,1975,,0.1441264944,-0.3779807676,,-0.9175774305,-0.2328104786,-0.1625539285,0.4519090397,-2.3217923641,17.9061489105,UMAP
"Congo, Dem. Rep.",COD,1975,,,-0.9609731369,,,-0.2332836564,-1.3485839892,,-1.5404112339,19.0660438538,UMAP
"Congo, Rep.",COG,1975,,,-0.6809728380,,0.4559354933,-0.2348497702,0.7155508643,,-2.3657588959,17.1479549408,UMAP
Costa Rica,CRI,1975,,,,,-0.1545200582,-0.2346523554,-0.1987903869,,-2.4060630798,17.8000106812,UMAP
Cote d'Ivoire,CIV,1975,,,-0.2514595548,,-0.0619719869,-0.2343326951,0.8001880555,,-3.5190632343,18.0194263458,UMAP
Cuba,CUB,1975,,,,,0.0071634350,-0.2328222562,0.9988434226,,-2.5462205410,17.7470321655,UMAP
Cyprus,CYP,1975,,,,,0.3092295970,-0.2348956097,,0.5127566743,-1.1938022375,18.8867168427,UMAP
Denmark,DNK,1975,,-0.0285552325,0.0551954917,,-0.3282145267,-0.2282924569,-0.7686734021,-0.4955755563,-3.1767961979,17.6081123352,UMAP
Dominican Republic,DOM,1975,,,,,-0.3020092408,-0.2343814202,0.3034223863,,-2.1136162281,16.7065601349,UMAP
Early-demographic dividend,EAR,1975,,,-0.6099073403,,-0.7906540848,-0.1230021174,-0.0704898430,,-2.8635168076,18.7964687347,UMAP
East Asia & Pacific,EAS,1975,,,1.3645597231,,-0.9404194147,-0.0780172131,0.0362278619,,-0.8855923414,16.7470207214,UMAP
East Asia & Pacific (IDA & IBRD countries),TEA,1975,,,,,-1.1968655017,-0.1938784257,0.5510147798,,-2.1977524757,15.6614074707,UMAP
East Asia & Pacific (excluding high income),EAP,1975,,,,,-1.1968655017,-0.1938365733,0.5516527149,,-2.1845581532,15.5776805878,UMAP
Ecuador,ECU,1975,,0.0299220923,,,-0.8078593497,-0.2336980241,1.2416915960,-0.4608054794,-2.1706757545,17.1414146423,UMAP
"Egypt, Arab Rep.",EGY,1975,,,-0.6947591464,,-0.4476060714,-0.2330529894,0.9116101772,-0.9354170294,-3.6340832710,16.7919521332,UMAP
El Salvador,SLV,1975,,,,,-0.1023157128,-0.2346650466,-0.0650923017,,-2.3122119904,16.3912010193,UMAP
Equatorial Guinea,GNQ,1975,,,,,,-0.2349593800,,,-2.9832262993,17.2238197327,UMAP
Eswatini,SWZ,1975,,,-0.6023565294,,,-0.2349289508,1.7184311637,,-1.8641427755,18.5211696625,UMAP
Ethiopia,ETH,1975,,,-0.9758057085,,,-0.2342197115,-0.3374369970,,-1.8353503942,19.2930278778,UMAP
Euro area,EMU,1975,,0.0109275050,,,-0.6323174512,0.0142753689,-0.6706067950,,0.3714030385,16.6652202606,UMAP
Europe & Central Asia,ECS,1975,,,,,-0.5865482039,0.1485062207,-0.6746054466,,0.5145229101,16.5553894043,UMAP
European Union,EUU,1975,,,,,-0.6186434505,0.0451845104,-0.6395234505,,0.3636817336,16.5724735260,UMAP
Faroe Islands,FRO,1975,,,,,0.1747587922,-0.2349390212,,,-1.3683205843,18.6927165985,UMAP
Fiji,FJI,1975,,,,,,-0.2348634664,-0.4536747094,,-0.8762150407,18.2810459137,UMAP
Finland,FIN,1975,,0.0738884033,,,-0.5142323724,-0.2301022426,-0.2467150435,-1.0206037178,-1.7283487320,15.9808101654,UMAP
Fragile and conflict affected situations,FCS,1975,,,-0.8002572440,,,-0.2070522886,-0.5518680889,,-0.7329296470,16.8306427002,UMAP
France,FRA,1975,,-0.0025839152,,,-0.7617998580,-0.1759750396,-0.7223111322,-0.6729029486,-1.0173075199,15.9318075180,UMAP
French Polynesia,PYF,1975,,,,,,-0.2348624674,-1.3357690460,,-1.1530140638,18.3799076080,UMAP
Gabon,GAB,1975,,,-0.7473651634,,0.4124795569,-0.2346198219,2.5759695425,,-3.3523242474,17.1030883789,UMAP
"Gambia, The",GMB,1975,,,-0.8286835060,,0.2333622023,-0.2349575801,1.4724515166,,-2.5919978619,17.3178577423,UMAP
Georgia,GEO,1975,,,,,,,0.6585347350,,-4.2114334106,16.2704200745,UMAP
Germany,DEU,1975,,-0.0746882328,,,-0.8006649059,-0.1535417537,-0.6804851948,,-1.3181979656,16.1687755585,UMAP
Ghana,GHA,1975,,,-0.9545826575,,-0.7607264210,-0.2345119143,-2.5581745636,,-2.9838032722,17.9914569855,UMAP
Greece,GRC,1975,,0.0216710500,,,-0.8275724682,-0.2303248538,0.4939621108,,-2.2499184608,16.0637016296,UMAP
Greenland,GRL,1975,,,,,,-0.2349417026,-0.4348361090,,-0.8344284892,18.3963165283,UMAP
Guam,GUM,1975,,,,,,,,0.0450991398,-0.9758587480,17.1639385223,UMAP
Guatemala,GTM,1975,,,,,-0.6140249908,-0.2343736974,-0.2231575919,,-1.9738550186,16.4869041443,UMAP
Guinea,GIN,1975,,,,,,-0.2339673996,-0.0726601705,,-2.8693742752,19.0045623779,UMAP
Guinea-Bissau,GNB,1975,,,,,-0.8919437301,-0.2349297757,0.7340580087,,-2.8087499142,16.4318790436,UMAP
Guyana,GUY,1975,,,,,1.4426957486,-0.2348948028,0.8375530727,,-2.7285933495,16.6191654205,UMAP
Haiti,HTI,1975,,,-0.7328063736,,,-0.2348639430,-0.3574686704,,-1.0799555779,18.8046321869,UMAP
Heavily indebted poor countries (HIPC),HPC,1975,,,-0.8227471032,,,-0.2230499740,-0.2046965995,,-1.9637312889,18.3223857880,UMAP
High income,HIC,1975,,,,,-0.7781707645,0.5725637574,-0.5638189593,,0.8515473604,16.6512336731,UMAP
Honduras,HND,1975,,,,,-0.1198138075,-0.2347907493,-0.1938203949,,-2.2331428528,16.6347866058,UMAP
"Hong Kong SAR, China",HKG,1975,,,,,1.6674332551,-0.2333149537,-0.4598719406,0.2119955090,-1.9535779953,17.3758811951,UMAP
Hungary,HUN,1975,,,,,,-0.2330880130,0.4668789735,,-2.4867732525,19.3383598328,UMAP
IBRD only,IBD,1975,,,,,-1.0830040650,-0.0228920563,0.2203961035,,-0.5751904249,14.8307914734,UMAP
IDA & IBRD total,IBT,1975,,,,,-1.0664253953,0.0060860429,0.1092095759,,-0.6512345076,15.1060256958,UMAP
IDA blend,IDB,1975,,,-0.7699603375,,,-0.2248815853,-0.7482897613,,-2.2860951424,18.8879394531,UMAP
IDA only,IDX,1975,,,-0.9375442827,,,-0.2167695905,-0.4342964958,,-0.6070700884,19.0342483521,UMAP
IDA total,IDA,1975,,,-0.8707398553,,,-0.2069362413,-0.6051074115,,-0.0506238975,16.3490238190,UMAP
